Participants,Unexpect_Central_Left,Unexpect_Central_Midline,Unexpect_Central_Right,Expect_Central_Left,Expect_Central_Midline,Expect_Central_Right,Diff_Central_Left,Diff_Central_Midline,Diff_Central_Right,Unexpect_Frontal_Left,Unexpect_Frontal_Midline,Unexpect_Frontal_Right,Expect_Frontal_Left,Expect_Frontal_Midline,Expect_Frontal_Right,Diff_Frontal_Left,Diff_Frontal_Midline,Diff_Frontal_Right
Omit_rates_adult_01,-0.521851571,0.263961728,2.52E-01,0.26225734,0.485323605,0.195413702,-0.82348881,-0.291292178,-0.046150458,-0.733607491,0.056652921,-0.271764781,-0.086525066,-0.093485556,0.063162399,0.264205834,0.52702646,-0.909633797
Omit_rates_adult_02,0.092671443,0.751527982,0.635783731,0.454489881,0.835615429,0.849693954,-0.344884475,-0.320053372,-0.219775636,0.194624918,0.745747724,0.867057979,0.194916638,0.723668984,9.82E-01,-1.226166553,-0.590456051,-0.592365826
Omit_rates_adult_03,0.153555939,-0.297733503,-0.598076689,0.045056951,0.144169063,0.101469953,-0.068281467,-0.492154998,-6.65E-01,0.61268432,0.581210342,0.328423165,-0.147219022,-0.345232385,-0.64800571,0.264205834,-0.718250372,-0.730913221
Omit_rates_adult_04,0.198127698,0.973763344,0.12170115,-0.028598428,0.271306259,0.362120058,0.154844373,0.861992408,-0.38347853,-0.263008546,0.600109994,0.087369162,-0.997565086,-0.448320359,-0.520845412,0.67009424,0.771952184,0.397273696
Omit_rates_adult_05,-0.559106532,-0.171408324,-0.159427139,-0.379488492,-0.220373663,-0.339682954,-0.375080709,-0.010148879,-0.041685284,-0.848157634,0.003673974,0.041039976,-0.687702104,-0.553036419,-0.634704056,0.719708943,0.133561494,0.31637295
Omit_rates_adult_06,0.91341303,0.337557846,-0.02915971,0.609828854,0.59855518,0.027627093,0.140393413,-0.197908125,-0.275363545,-0.567226819,0.741326158,0.225269127,0.000681696,-1.127003001,-0.606042705,-1.084223454,0.63188233,-0.35112791
Omit_rates_adult_07,0.191358788,-0.228871002,-0.370788358,0.667741094,0.527754519,0.135682288,-0.757998189,-0.905126098,-0.995833075,-0.14498176,0.626598449,0.919130145,1.265054563,1.210886635,1.449113353,-1.300125409,-0.718250372,-0.839131147
Omit_rates_adult_08,0.466662557,0.792284539,0.830464601,-0.282545272,0.55255791,0.146870955,0.552809919,0.297680679,0.665709085,0.493093502,0.184616004,0.631075422,0.484271695,0.064007356,0.470175909,-1.350707346,-0.958718839,-0.906877993
Omit_rates_adult_09,-0.474295329,0.289233499,-0.13041676,0.267660512,0.377331569,0.608531686,-0.742353436,-0.46806455,-0.877177301,-0.977696924,-0.549583452,-1.04E+00,0.022003677,0.577869173,0.575660132,0.67009424,0.52702646,0.668235217
Omit_rates_adult_10,0.456651871,0.243527016,-0.188855106,0.371137752,0.051302348,-4.44E-01,0.09613974,0.011460357,-0.052134816,0.912666846,0.14201545,0.75265637,0.282873728,0.012761166,0.428693494,-1.207820235,-0.718250372,0.24992175
