Participants,Unexpect_Central_Left,Unexpect_Central_Midline,Unexpect_Central_Right,Expect_Central_Left,Expect_Central_Midline,Expect_Central_Right,Diff_Central_Left,Diff_Central_Midline,Diff_Central_Right,Unexpect_Frontal_Left,Unexpect_Frontal_Midline,Unexpect_Frontal_Right,Expect_Frontal_Left,Expect_Frontal_Midline,Expect_Frontal_Right,Diff_Frontal_Left,Diff_Frontal_Midline,Diff_Frontal_Right
Omit_rates_adult_01,-0.294996756,0.449467547,1.12E-01,0.402589709,0.20338575,0.742167265,-0.991735038,0.386795557,-0.610512165,-0.443115849,0.505329006,-0.056448453,-0.298501818,-0.160508905,0.065601473,1.226891475,1.218190148,0.502918689
Omit_rates_adult_02,0.63388025,1.238798814,1.541269667,0.739462534,1.048342528,1.222625667,-0.41175862,0.136610176,0.603429892,0.537935072,1.055921224,1.279597387,0.747656993,1.107682346,1.35E+00,1.15057116,1.271560523,0.256804447
Omit_rates_adult_03,1.112555883,0.876859207,1.080233741,0.677688395,0.736195554,0.979524816,0.433714249,0.25730416,2.14E-01,1.223856399,1.023086499,0.72767205,0.788716048,0.721673101,0.178111832,1.051066945,1.281724325,0.460909518
Omit_rates_adult_04,0.876031359,0.773402867,0.686437942,-0.120354007,0.276007131,0.145485121,0.759986682,0.772528117,0.746899849,1.342417735,0.761533266,0.596653437,0.918105504,1.164177227,0.927524783,1.337463641,0.911871813,0.444891514
Omit_rates_adult_05,-0.081395173,0.253816285,0.338033584,-0.172395602,0.099605788,0.027124483,0.039634679,0.4411262,0.418219128,0.018228871,0.545096667,0.394409647,-0.273701579,-0.20677159,-0.265897828,1.337463641,0.911871813,0.485598988
Omit_rates_adult_06,1.386239434,0.387460647,0.506124126,1.033772864,0.297424842,1.261908782,0.556894216,0.159188608,-0.310897685,0.265611674,0.759737817,0.728180304,0.162347598,-0.927941961,-0.399804159,0.645638668,1.089388334,0.256804447
Omit_rates_adult_07,0.806804306,0.247513772,0.55985081,0.743362173,0.303446315,0.612183313,-0.060143419,-0.198635618,-0.080287025,0.801401193,2.04219685,2.11494416,1.193245322,0.884960347,1.516187223,1.325642775,1.271560523,0.390553724
Omit_rates_adult_08,1.337626041,0.926553201,1.962787054,0.212102808,0.081973159,0.687447352,1.28426716,0.822281713,1.051992422,1.663909413,0.177673153,1.428144659,0.708021059,0.074499629,0.599168,1.087808372,1.048350154,0.444891514
Omit_rates_adult_09,-0.484228217,0.407783141,-0.539361471,0.566976048,0.951802652,1.197672809,-0.748540918,-0.46629115,-1.271309375,-0.520923025,0.146164505,-8.41E-01,-0.203656365,0.62835413,0.941861702,1.307939478,1.048350154,0.485598988
Omit_rates_adult_10,0.956356709,0.272761599,1.087074871,1.177625437,0.468505081,1.08E+00,0.031614348,0.10129475,0.549381112,1.656980422,0.096466436,1.125347427,1.410502754,0.685565854,1.206881512,1.287351672,0.755821045,0.397273696
